invoice_date,supplier_avg_amount_90d,supplier_invoice_count_30d,duplicate_invoice_flag,split_invoice_flag,late_night_submission_flag,payment_term_days,is_fraud
31-07-2023,16824.38767,14,0,0,1,60,1
03-10-2023,7532.79122,16,0,0,1,60,0
19-04-2023,4741.324194,5,0,0,1,30,0
14-05-2023,5999.801702,18,0,0,0,30,0
15-03-2023,20103.91241,11,0,0,1,60,0
24-12-2023,2376.6168,22,0,0,0,30,0
15-06-2023,836.38,12,0,0,0,60,0
12-11-2023,9611.573529,12,0,1,0,60,1
17-03-2023,7153.267419,8,0,1,1,30,1
11-06-2023,25127.99721,12,0,0,1,30,0
17-06-2023,5359.39027,11,0,0,0,30,0
29-12-2023,7709.809459,16,0,0,1,60,0
14-04-2023,7957.376897,10,0,1,0,60,1
12-01-2023,6769.101,10,0,1,0,30,1
03-10-2023,4213.29093,13,0,0,0,30,0
16-02-2023,9314.550588,8,0,0,1,30,0
05-05-2023,9914.880571,12,0,0,1,90,0
19-12-2023,7478.691429,11,0,0,0,30,0
30-04-2023,6381.336129,12,0,0,0,30,0
16-06-2023,6465.217429,17,0,1,0,30,1
01-09-2023,14769.6514,15,0,0,0,30,1
14-05-2023,4682.925517,8,0,0,0,30,0
30-06-2023,6774.946667,10,0,0,0,30,0
27-08-2023,6790.717037,7,0,0,0,30,0
29-07-2023,5136.0068,9,0,0,0,30,0
20-06-2023,4542.462727,13,0,1,0,30,1
15-08-2023,3700.088857,11,0,0,1,30,0
16-04-2023,7235.921081,16,0,0,0,30,0
07-09-2023,3817.064474,10,0,0,0,60,0
31-10-2023,13551.89524,15,0,1,0,30,1
11-09-2023,22290.00308,11,0,1,1,30,1
22-04-2023,2867.257667,7,0,0,0,90,0
24-09-2023,10995.59719,12,0,0,0,30,0
14-05-2023,4286.033125,12,0,0,0,30,0
22-11-2023,23034.70179,16,0,0,0,60,0
08-01-2023,1800.8075,4,0,1,0,60,1
06-08-2023,2331.45375,23,0,1,0,30,1
28-09-2023,3433.12075,11,0,0,0,60,0
27-10-2023,8264.5675,10,0,0,0,60,0
26-11-2023,6989.312222,18,0,0,1,60,0
23-03-2023,14188.88093,15,0,0,0,30,0
27-12-2023,1777.424872,13,0,0,1,60,1
04-03-2023,3974.935758,13,0,0,1,30,0
27-08-2023,3297.456842,12,0,0,0,30,0
20-03-2023,4746.738485,12,0,1,1,30,1
31-01-2023,7590.194545,11,0,0,0,30,0
18-04-2023,15620.39,6,0,0,0,30,0
02-08-2023,8236.682813,8,0,1,0,90,1
23-08-2023,4889.380208,18,0,0,0,60,0
15-04-2023,2357.201818,14,0,0,1,90,1
28-09-2023,1508.857083,5,0,1,0,90,0
31-01-2023,7407.73,15,0,1,0,30,1
11-02-2023,6935.190476,16,0,0,1,30,0
25-09-2023,6036.963051,25,0,0,0,30,0
30-12-2023,5132.340303,14,0,0,0,30,0
03-12-2023,4054.917188,12,0,0,0,30,0
22-02-2023,7438.065385,16,0,0,0,30,0
11-03-2023,10620.11694,22,0,0,1,90,0
17-12-2023,9880.223529,11,0,0,1,90,0
12-08-2023,6897.883636,10,0,0,0,30,0
03-09-2023,8499.600732,14,0,0,1,30,0
24-05-2023,1787.136452,10,0,0,0,30,0
27-09-2023,3086.392093,21,0,0,0,30,1
14-11-2023,4516.519091,11,0,0,0,30,0
11-08-2023,3508.941714,10,0,0,0,60,0
06-03-2023,962.04,13,0,0,0,30,0
14-01-2023,8627.0525,8,0,0,0,30,0
22-12-2023,9500.364815,23,0,0,0,30,0
06-04-2023,6448.412895,16,0,0,0,30,0
14-08-2023,2117.546154,15,0,0,0,30,0
14-08-2023,6783.822973,11,0,0,1,60,0
13-06-2023,2952.927941,10,0,0,0,30,0
24-09-2023,10472.49921,13,0,0,0,60,0
07-01-2023,15742.984,5,0,1,1,60,1
06-03-2023,3661.869697,17,0,1,0,60,1
06-09-2023,4141.992059,15,0,0,0,60,0
20-04-2023,7626.111,12,0,0,0,30,0
17-09-2023,3615.680833,11,0,0,0,30,0
19-04-2023,4796.133571,10,0,1,1,90,1
26-09-2023,7081.7725,16,0,1,0,90,1
21-02-2023,5081.547778,9,0,0,0,60,0
20-03-2023,6878.724444,14,0,0,0,60,0
22-01-2023,3547.008,10,0,0,0,60,0
01-08-2023,4548.197273,5,0,1,0,30,1
03-09-2023,2516.165357,8,0,0,1,60,1
22-05-2023,15172.73652,17,0,0,0,30,0
15-09-2023,9270.638125,8,0,0,0,30,0
03-10-2023,2902.329474,21,0,1,0,30,1
14-08-2023,3757.334,16,0,0,0,30,0
25-08-2023,13964.43227,19,0,0,1,30,0
14-03-2023,12434.02231,8,0,0,0,90,0
07-11-2023,4631.036957,8,0,0,0,60,0
12-05-2023,3775.288125,12,0,0,0,60,0
25-07-2023,2551.098696,8,0,0,0,60,0
26-06-2023,10127.48759,8,0,0,0,30,0
23-05-2023,3071.2796,8,0,0,0,90,0
11-09-2023,19305.44438,18,0,0,0,30,0
15-03-2023,17193.70714,11,0,0,0,60,0
11-03-2023,4331.537222,9,0,0,0,30,0
08-03-2023,7245.580333,13,0,0,1,30,0
04-03-2023,7878.478333,8,0,0,0,30,0
10-05-2023,8078.046,11,0,0,0,30,0
01-02-2023,3867.243846,12,0,0,0,30,0
19-04-2023,48138.11026,16,0,0,0,60,1
12-11-2023,10159.99269,19,0,0,1,30,0
09-02-2023,26398.93211,15,0,0,0,30,0
28-06-2023,13240.97467,13,0,0,0,30,1
08-03-2023,6271.126364,15,0,0,0,60,0
01-09-2023,9455.011944,12,0,0,0,60,0
05-12-2023,7604.402821,13,0,0,0,30,0
05-01-2023,21162.12,3,0,0,0,60,0
05-09-2023,6004.678065,11,0,0,0,30,0
17-08-2023,5980.062708,17,0,0,1,30,0
30-03-2023,14105.89488,19,0,0,1,60,0
16-08-2023,6602.195,11,0,0,0,60,0
11-11-2023,6655.026,14,0,0,0,30,0
28-06-2023,3692.100741,11,0,0,1,30,0
15-08-2023,3671.65,13,0,0,0,30,0
10-04-2023,1748.717188,13,0,0,0,30,0
07-06-2023,12292.76026,10,0,0,0,30,0
20-09-2023,3787.4225,16,0,0,1,90,0
03-11-2023,3528.804242,11,0,0,1,60,1
27-08-2023,3255.492051,13,0,0,0,30,0
30-05-2023,4122.7355,16,0,0,0,30,0
01-02-2023,10492.33929,12,0,0,0,30,0
26-11-2023,9019.901818,10,0,0,0,60,0
31-07-2023,8524.753784,14,0,0,0,60,0
10-07-2023,2414.82,8,0,0,0,60,0
11-10-2023,6385.246857,13,0,0,0,60,0
11-09-2023,6487.127143,12,0,0,0,30,0
03-10-2023,5911.770238,18,0,0,0,30,0
27-12-2023,2300.821333,5,0,0,0,30,0
20-10-2023,5837.277778,19,0,0,0,60,0
21-09-2023,2191.677576,11,0,0,1,60,0
07-08-2023,9692.810588,14,0,1,0,90,1
13-10-2023,4172.397368,15,0,1,0,60,1
06-03-2023,15049.05688,21,0,0,0,60,0
07-05-2023,2646.074839,11,0,0,1,30,0
29-03-2023,1809.170278,11,0,0,1,90,0
29-05-2023,6617.43875,13,0,0,0,30,0
26-04-2023,13340.726,23,0,0,1,30,0
01-01-2023,9844.52,1,0,0,0,30,0
24-09-2023,12790.28462,13,0,1,1,30,1
15-06-2023,4272.86037,13,0,1,0,30,1
10-07-2023,18869.73659,14,0,0,0,30,0
15-08-2023,4110.607027,11,0,0,0,30,0
02-10-2023,2021.278276,13,0,0,1,30,0
12-10-2023,6206.544103,15,0,0,1,60,0
20-04-2023,8473.108049,15,0,0,0,90,0
16-01-2023,16730.13,2,0,0,0,90,0
06-07-2023,5433.937209,14,0,0,1,60,0
04-09-2023,9811.966552,10,0,0,0,30,0
13-01-2023,4246.5475,4,0,0,0,60,0
24-01-2023,8323.614545,11,0,0,1,30,0
07-05-2023,9514.381957,12,0,0,0,30,1
08-10-2023,2714.120476,11,0,0,0,30,0
15-06-2023,40647.46875,11,0,0,1,60,1
28-10-2023,6307.091429,13,0,1,0,30,1
05-01-2023,7500.82,3,0,0,0,60,0
21-05-2023,3408.232059,9,0,0,0,60,0
17-12-2023,7410.67,11,0,1,1,30,1
01-05-2023,1362.84625,15,0,0,0,30,0
19-07-2023,3490.318286,10,0,0,0,30,0
04-03-2023,6834.837778,9,0,0,0,30,0
29-03-2023,8162.282727,16,0,0,0,90,0
14-02-2023,11219.43588,11,0,0,0,30,0
23-09-2023,7594.035714,11,0,0,0,30,0
06-05-2023,7818.707838,12,0,0,0,90,0
18-01-2023,3963.78,7,0,0,0,90,0
28-07-2023,6542.519444,19,0,0,0,30,0
15-02-2023,2892.435556,14,0,0,0,60,0
28-05-2023,13166.63063,10,0,0,0,60,0
18-07-2023,8951.77,6,0,0,0,30,0
29-08-2023,22136.71727,12,0,0,0,30,1
10-03-2023,23240.31286,13,0,0,1,60,0
07-07-2023,9022.224048,14,0,0,1,60,0
03-03-2023,16609.258,13,0,0,0,60,0
31-01-2023,7641.604444,9,0,0,0,30,0
01-06-2023,2187.45878,16,0,0,0,30,0
31-08-2023,4444.074762,13,0,0,0,90,0
03-07-2023,3665.6105,13,0,0,0,90,0
01-01-2023,16802.07,1,0,0,0,30,0
25-09-2023,24895.29316,8,0,1,0,60,1
16-01-2023,14059.682,5,0,0,0,90,0
28-05-2023,1837.086452,10,0,0,0,90,0
21-08-2023,18854.15103,18,0,0,0,30,0
08-06-2023,9727.929487,13,0,0,0,30,0
01-01-2023,5651.43,1,0,0,0,30,0
06-09-2023,1386.623333,10,0,0,0,30,0
27-06-2023,4755.624231,19,0,0,1,30,0
07-02-2023,1173.964615,10,0,0,0,60,0
03-10-2023,7432.192973,12,0,1,0,90,1
14-08-2023,3192.409767,10,0,0,0,30,0
05-06-2023,5985.073158,16,0,0,0,30,0
29-04-2023,16673.26326,17,0,0,0,30,0
13-09-2023,2180.614318,14,0,0,0,30,0
15-05-2023,8200.382727,15,0,0,0,30,0
04-09-2023,2677.241579,13,0,0,0,30,0
30-12-2023,5578.437222,12,0,0,0,60,0
23-11-2023,5039.94525,12,0,0,0,60,0
21-07-2023,3275.356,18,0,0,0,30,0
02-05-2023,15270.23722,12,0,0,1,90,0
17-09-2023,16334.85061,13,0,0,0,90,0
12-03-2023,6321.168788,19,0,0,0,30,1
20-12-2023,1291.598696,14,0,0,0,30,0
13-09-2023,5412.936279,16,0,0,0,30,0
11-01-2023,10869.79333,3,0,0,0,90,0
28-03-2023,2453.658286,18,0,0,1,30,0
21-04-2023,4899.446,6,0,0,0,30,1
05-07-2023,2607.651667,8,0,0,0,30,0
26-05-2023,2842.715357,8,0,0,0,30,0
09-03-2023,4513.937368,14,0,0,0,60,0
28-02-2023,5068.656316,11,0,0,0,30,0
13-05-2023,6164.565,7,0,0,1,90,1
24-02-2023,2767.468947,10,0,1,0,30,1
27-02-2023,3960.727273,14,0,0,0,60,0
25-01-2023,3531.116364,11,0,0,0,60,0
03-08-2023,14974.373,10,0,0,1,60,0
11-03-2023,6663.694118,14,0,0,0,60,0
30-12-2023,17888.38953,16,0,0,0,30,0
09-07-2023,4444.284792,16,0,0,0,30,0
12-07-2023,5668.058,11,0,0,0,30,0
05-01-2023,5962.19,1,0,0,0,30,0
23-06-2023,3802.598421,15,0,0,0,60,1
14-09-2023,2192.4255,12,0,0,0,60,0
07-04-2023,3925.5925,11,0,0,0,60,0
18-01-2023,3668.562727,11,0,0,0,60,0
19-10-2023,9368.52119,16,0,0,0,30,0
26-05-2023,4034.135,13,0,0,0,60,1
23-07-2023,8755.651333,10,0,0,0,30,0
05-08-2023,2540.966452,10,0,0,0,30,0
19-08-2023,2188.122059,8,0,0,0,60,0
21-06-2023,8425.298667,6,0,0,0,30,0
15-10-2023,4607.563077,13,0,0,0,90,0
15-10-2023,1793.448846,12,0,0,0,30,0
28-08-2023,5279.515676,7,0,0,1,30,0
14-05-2023,2768.575526,18,0,0,1,90,0
11-06-2023,9458.480571,15,0,0,0,30,0
02-12-2023,3047.803871,8,0,0,0,60,0
03-11-2023,4021.298205,13,0,0,0,60,0
21-05-2023,14387.77425,15,0,0,0,30,0
08-08-2023,4063.821471,13,0,0,0,30,1
29-11-2023,8963.4325,16,0,0,0,30,0
14-05-2023,22414.77244,15,0,0,1,60,0
16-11-2023,2718.561628,15,0,0,0,30,0
13-10-2023,10248.95914,12,0,0,0,30,0
09-11-2023,4399.415152,13,0,0,0,30,0
03-07-2023,7032.474884,14,0,0,0,30,0
06-05-2023,10799.11486,7,0,0,0,30,0
11-01-2023,26756.448,5,0,0,0,60,1
09-06-2023,2045.901707,18,0,0,0,30,0
03-07-2023,3861.492,10,0,0,1,60,0
03-01-2023,18272.11,2,0,0,1,30,0
26-02-2023,10287.60619,10,0,0,1,60,0
02-02-2023,14086.71083,11,0,0,1,30,0
19-03-2023,10915.05688,18,0,0,1,30,0
24-10-2023,10093.00146,16,0,0,0,60,0
22-07-2023,6818.808667,14,0,0,1,30,0
09-10-2023,6055.986889,16,0,1,1,30,1
06-08-2023,3009.296333,13,0,0,0,60,0
06-11-2023,5652.022381,13,0,0,1,60,0
25-03-2023,11326.22737,12,0,0,0,60,0
30-08-2023,3984.185217,15,0,0,0,90,0
06-04-2023,7222.386098,18,0,0,0,30,0
21-11-2023,2710.166053,11,0,0,0,30,0
28-06-2023,3707.424706,9,0,0,1,30,0
19-11-2023,6883.985526,13,0,0,0,60,0
02-10-2023,3513.4825,18,0,1,1,30,1
25-01-2023,20359.85333,9,0,0,0,60,0
28-04-2023,5266.660256,15,0,0,1,30,0
07-12-2023,10711.07179,10,0,0,0,60,0
04-02-2023,14770.86571,11,0,0,0,30,0
30-01-2023,7170.796923,13,0,0,0,30,0
13-10-2023,7837.255172,12,0,1,1,60,1
28-06-2023,8200.965319,17,0,0,1,30,0
24-05-2023,2975.458293,13,0,1,0,60,1
11-11-2023,2540.185435,20,0,0,0,60,1
02-05-2023,5449.039643,14,0,1,1,30,1
27-03-2023,4718.243871,10,0,0,0,30,0
19-04-2023,17522.54447,12,0,0,0,60,0
04-12-2023,5714.254634,16,0,0,0,30,0
17-02-2023,4879.01875,7,0,0,0,60,0
07-01-2023,5947.041429,7,0,0,0,30,0
23-09-2023,1793.974,20,0,0,0,60,0
26-04-2023,1947.69697,17,0,0,0,90,0
12-11-2023,5428.297273,12,0,0,1,60,0
04-11-2023,3281.052292,21,0,1,0,30,1
03-04-2023,9987.53275,15,0,0,0,30,0
28-11-2023,6311.593333,13,0,0,0,60,1
03-07-2023,1243.878125,9,0,0,0,30,0
23-09-2023,4146.890256,10,0,0,1,30,0
10-08-2023,4973.368966,8,0,1,0,30,1
18-02-2023,13588.32474,14,0,0,0,30,0
26-01-2023,7592.85,15,0,0,1,90,0
25-05-2023,3631.521282,13,0,0,1,60,0
21-04-2023,10183.08381,17,0,0,1,30,0
10-08-2023,24206.46125,12,0,1,1,30,1
30-08-2023,3958.56973,15,0,0,0,60,0
24-12-2023,9461.628605,12,0,0,0,60,0
10-01-2023,7657.316,5,0,0,1,30,1
29-06-2023,4878.974857,13,0,0,0,30,0
07-09-2023,3189.027179,15,0,0,0,60,0
04-09-2023,6469.654643,10,0,1,0,30,1
03-02-2023,10285.49308,11,0,0,1,30,0
11-08-2023,9706.264595,13,0,1,0,60,1
05-01-2023,3133.9125,4,0,0,0,60,0
01-04-2023,14219.93044,17,0,0,1,90,0
16-12-2023,9781.707925,20,0,1,1,30,1
26-10-2023,14211.77162,9,0,0,0,60,0
10-06-2023,2757.475833,10,0,0,0,90,0
23-02-2023,28565.61792,13,0,0,0,60,1
19-04-2023,7948.776304,12,0,0,1,60,0
17-12-2023,1366.753182,14,0,0,1,30,0
26-01-2023,11831.76154,13,0,0,0,30,1
09-05-2023,6635.937778,15,0,0,0,90,1
23-12-2023,20395.72051,17,0,1,1,60,1
10-11-2023,7273.740667,9,0,0,1,60,0
15-08-2023,2785.009302,19,0,0,0,60,0
06-02-2023,4005.844706,13,0,0,0,60,0
20-02-2023,9144.173462,17,0,0,1,60,0
10-02-2023,6765.882,16,0,0,0,60,0
18-05-2023,10339.21079,8,0,0,0,60,0
21-01-2023,4641.58,10,0,0,0,30,1
23-05-2023,24942.92175,14,0,0,0,30,0
21-04-2023,10977.57324,10,0,0,1,30,0
11-11-2023,5979.447895,15,0,0,0,30,0
07-05-2023,3779.457838,15,0,0,0,30,0
10-02-2023,9993.567222,13,0,0,0,60,1
24-09-2023,5439.709091,11,0,0,0,30,0
13-02-2023,4763.196957,19,0,0,0,30,0
02-11-2023,2945.236667,9,0,0,0,60,0
27-12-2023,10566.59761,16,0,1,0,60,1
09-02-2023,5231.04875,11,0,0,0,30,0
02-10-2023,9120.360233,12,0,0,0,30,0
12-02-2023,2599.094,10,0,1,1,60,1
20-06-2023,20334.7665,14,0,0,0,60,1
20-07-2023,7224.447857,12,0,0,0,60,0
03-05-2023,14698.95886,10,0,0,0,30,0
03-12-2023,8990.549091,17,0,0,1,60,0
22-07-2023,2135.1422,24,0,0,0,30,0
27-07-2023,2671.017143,14,0,0,0,60,0
14-01-2023,4401.61625,8,0,0,0,30,0
12-09-2023,6002.127619,16,0,1,0,30,1
26-04-2023,5474.343864,16,0,0,1,30,0
23-04-2023,5075.238095,14,0,0,0,60,0
12-11-2023,7338.036341,11,0,0,0,60,0
11-08-2023,12756.04735,16,0,0,0,30,0
24-03-2023,6458.468,16,0,0,0,60,0
07-05-2023,5368.341081,16,0,0,0,30,0
02-02-2023,5253.797647,17,0,1,1,60,1
05-07-2023,12923.37667,12,0,0,0,30,0
01-12-2023,1991.259211,10,0,0,1,90,1
24-12-2023,9493.13575,11,0,0,0,90,0
25-03-2023,2019.663947,12,0,0,0,30,0
28-06-2023,5881.78175,13,0,0,0,30,0
05-11-2023,7996.520816,19,0,0,0,90,0
26-11-2023,6525.5285,17,0,0,1,30,1
06-03-2023,4590.855357,14,0,0,0,30,0
17-06-2023,4572.254286,13,0,0,0,60,0
15-10-2023,2584.629783,17,0,0,0,30,0
28-09-2023,3928.7145,16,0,0,0,60,0
31-07-2023,1979.30725,17,0,0,0,30,0
17-02-2023,5958.198947,13,0,0,1,30,0
26-05-2023,5106.853824,12,0,0,0,30,1
02-01-2023,1636.03,1,0,0,1,30,0
10-12-2023,5758.619487,14,0,1,0,60,1
22-04-2023,9196.501786,8,0,0,0,30,0
10-02-2023,12979.71941,17,0,0,0,60,0
08-03-2023,15111.61484,13,0,0,0,60,0
08-07-2023,9546.388718,15,0,0,0,60,0
09-05-2023,12280.342,11,0,0,0,30,0
18-07-2023,3918.50825,16,0,0,0,60,0
13-01-2023,13764.69,2,0,0,1,60,0
18-02-2023,2435.279524,14,0,1,0,30,1
18-08-2023,9316.150435,14,0,1,1,30,1
19-11-2023,2896.767619,16,0,0,0,30,0
09-03-2023,6438.137619,11,0,0,1,30,0
05-11-2023,6540.435152,13,0,0,1,30,0
08-09-2023,7382.474688,17,0,0,0,90,0
21-07-2023,9274.47,12,0,0,1,90,0
04-06-2023,6868.267105,8,0,0,0,30,0
15-03-2023,2750.912759,12,0,1,1,30,1
11-10-2023,28621.26325,11,0,0,0,30,0
30-01-2023,4542.087647,17,0,1,0,60,1
11-03-2023,5145.895625,15,0,0,0,30,0
09-01-2023,4060.397143,7,0,0,0,60,0
09-05-2023,3929.315417,10,0,1,0,30,1
20-02-2023,4303.208421,15,0,0,1,60,0
26-09-2023,5806.317097,10,0,0,0,30,0
15-09-2023,8113.599394,8,0,0,0,60,0
30-06-2023,5403.083438,12,0,0,0,30,0
05-06-2023,3709.131111,12,0,0,0,30,1
28-12-2023,25147.11206,11,0,0,1,30,0
13-03-2023,1935.186061,12,0,0,1,60,0
06-06-2023,5558.08617,18,0,0,1,60,0
11-04-2023,11478.70022,13,0,0,1,30,1
03-06-2023,3240.824615,9,0,0,1,30,0
21-08-2023,3589.9324,18,0,0,0,30,0
12-07-2023,2727.37,15,0,1,0,90,1
30-05-2023,5098.058649,11,0,0,0,30,0
05-09-2023,3326.219032,9,0,1,0,60,1
30-10-2023,14290.84375,12,0,0,0,30,0
01-02-2023,5518.062381,20,0,1,0,90,1
22-11-2023,8695.89871,13,0,0,0,30,0
25-04-2023,3138.850286,16,0,0,0,30,0
23-08-2023,6005.866667,12,0,0,1,30,0
24-12-2023,4988.605714,14,0,0,1,30,0
23-07-2023,36636.28711,17,0,0,0,30,1
27-01-2023,1920.9625,8,0,0,0,30,0
13-09-2023,5167.295,22,0,1,0,60,1
20-08-2023,47463.93333,12,0,0,1,60,0
25-03-2023,3175.263824,15,0,0,1,90,0
15-03-2023,9499.3436,10,0,0,1,60,0
03-03-2023,4575.731613,12,0,0,0,60,0
01-08-2023,11123.40786,15,0,0,0,90,0
17-07-2023,2876.757297,9,0,0,0,60,0
31-08-2023,7001.12025,8,0,0,1,30,0
25-04-2023,7699.460811,17,0,0,0,60,0
04-08-2023,3998.538378,19,0,0,1,90,1
23-12-2023,13826.28207,12,0,0,0,60,0
07-11-2023,6753.542609,6,0,0,1,30,0
19-05-2023,3630.402,15,0,0,1,60,0
29-01-2023,2263.075,8,0,0,1,60,0
02-03-2023,2683.090606,19,0,0,0,90,0
07-03-2023,2699.87,12,0,0,0,60,0
31-01-2023,6264.631,10,0,0,0,60,0
08-01-2023,5392.735,4,0,0,0,30,0
05-03-2023,7890.120526,12,0,0,1,30,0
22-10-2023,1402.484815,9,0,1,1,30,1
02-12-2023,11202.21682,15,0,0,0,60,0
05-12-2023,5413.721818,20,0,0,0,30,0
22-09-2023,5078.361563,8,0,0,1,60,0
02-03-2023,9360.3396,14,0,0,0,30,0
24-01-2023,5595.242,10,0,0,0,90,0
25-02-2023,13231.8975,12,0,0,1,60,0
25-12-2023,21691.60395,14,0,0,0,60,1
18-06-2023,6305.328333,9,0,0,0,60,0
13-10-2023,3819.472703,12,0,1,0,30,1
24-01-2023,4920.09,13,0,0,1,60,1
16-06-2023,9967.666765,11,0,0,0,60,0
06-01-2023,8928.853333,3,0,0,0,60,0
15-04-2023,6849.591944,20,0,1,0,60,1
13-06-2023,11952.29825,15,0,0,0,60,0
03-05-2023,3037.045143,15,0,1,0,90,1
30-12-2023,5649.385385,11,0,0,0,90,0
31-10-2023,17033.83622,18,0,0,0,30,0
04-03-2023,20303.44906,15,0,0,0,30,0
23-12-2023,6128.18675,21,0,1,0,30,1
30-07-2023,6068.26,14,0,0,0,30,0
08-08-2023,15785.58775,19,0,0,1,30,0
20-12-2023,6467.41,8,0,1,0,60,1
21-02-2023,3054.704375,16,0,0,0,30,0
19-10-2023,3572.283721,17,0,0,0,30,0
16-01-2023,11064.75375,8,0,0,0,30,0
01-07-2023,4083.040256,16,0,0,0,30,0
02-05-2023,4322.47,19,0,0,0,30,0
05-09-2023,8068.719677,15,0,0,0,30,0
11-08-2023,7084.671277,20,0,0,0,30,0
07-10-2023,14588.45618,12,0,0,1,30,0
04-02-2023,9454.338947,17,0,0,0,30,0
03-09-2023,3977.688438,9,0,0,0,60,0
17-10-2023,1867.0335,11,0,1,1,30,1
12-06-2023,7088.127917,13,0,0,0,60,0
27-09-2023,27896.28345,9,0,0,0,30,0
14-06-2023,3140.533409,15,0,0,0,90,0
26-01-2023,3999.068182,11,0,0,1,30,0
16-06-2023,11892.36737,14,0,0,1,30,0
06-11-2023,5517.597273,10,0,0,0,60,0
17-05-2023,3371.803953,16,0,0,0,60,0
